           30,          30
   0.13239890E+01  -0.34482758E+01  -0.13719054E+02
   0.13239890E+01  -0.36206896E+01  -0.13718353E+02
   0.13239890E+01  -0.37931035E+01  -0.13717882E+02
   0.13239890E+01  -0.39655173E+01  -0.13717564E+02
   0.13239890E+01  -0.41379309E+01  -0.13717351E+02
   0.13239890E+01  -0.43103447E+01  -0.13717207E+02
   0.13239890E+01  -0.44827585E+01  -0.13717110E+02
   0.13239890E+01  -0.46551723E+01  -0.13717046E+02
   0.13239890E+01  -0.48275862E+01  -0.13717002E+02
   0.13239890E+01  -0.50000000E+01  -0.13716972E+02
 
   0.18412276E+01   0.00000000E+00  -0.14804944E+02
   0.18412276E+01  -0.17241380E+00  -0.14762690E+02
   0.18412276E+01  -0.34482759E+00  -0.14714478E+02
   0.18412276E+01  -0.51724136E+00  -0.14659197E+02
   0.18412276E+01  -0.68965518E+00  -0.14596351E+02
   0.18412276E+01  -0.86206895E+00  -0.14527208E+02
   0.18412276E+01  -0.10344827E+01  -0.14454105E+02
   0.18412276E+01  -0.12068965E+01  -0.14381287E+02
   0.18412276E+01  -0.13793104E+01  -0.14313343E+02
   0.18412276E+01  -0.15517242E+01  -0.14254016E+02
   0.18412276E+01  -0.17241379E+01  -0.14205311E+02
   0.18412276E+01  -0.18965517E+01  -0.14167381E+02
   0.18412276E+01  -0.20689654E+01  -0.14139055E+02
   0.18412276E+01  -0.22413793E+01  -0.14118559E+02
   0.18412276E+01  -0.24137931E+01  -0.14104063E+02
   0.18412276E+01  -0.25862069E+01  -0.14093972E+02
   0.18412276E+01  -0.27586207E+01  -0.14087027E+02
   0.18412276E+01  -0.29310346E+01  -0.14082282E+02
   0.18412276E+01  -0.31034484E+01  -0.14079057E+02
   0.18412276E+01  -0.32758620E+01  -0.14076873E+02
   0.18412276E+01  -0.34482758E+01  -0.14075397E+02
   0.18412276E+01  -0.36206896E+01  -0.14074402E+02
   0.18412276E+01  -0.37931035E+01  -0.14073731E+02
   0.18412276E+01  -0.39655173E+01  -0.14073280E+02
   0.18412276E+01  -0.41379309E+01  -0.14072976E+02
   0.18412276E+01  -0.43103447E+01  -0.14072771E+02
   0.18412276E+01  -0.44827585E+01  -0.14072634E+02
   0.18412276E+01  -0.46551723E+01  -0.14072541E+02
   0.18412276E+01  -0.48275862E+01  -0.14072479E+02
   0.18412276E+01  -0.50000000E+01  -0.14072437E+02
 
   0.23584719E+01   0.00000000E+00  -0.15203494E+02
   0.23584719E+01  -0.17241380E+00  -0.15161705E+02
   0.23584719E+01  -0.34482759E+00  -0.15114237E+02
   0.23584719E+01  -0.51724136E+00  -0.15059730E+02
   0.23584719E+01  -0.68965518E+00  -0.14998018E+02
   0.23584719E+01  -0.86206895E+00  -0.14929817E+02
   0.23584719E+01  -0.10344827E+01  -0.14857568E+02
   0.23584719E+01  -0.12068965E+01  -0.14784997E+02
   0.23584719E+01  -0.13793104E+01  -0.14716958E+02
   0.23584719E+01  -0.15517242E+01  -0.14656771E+02
   0.23584719E+01  -0.17241379E+01  -0.14606763E+02
   0.23584719E+01  -0.18965517E+01  -0.14567342E+02
   0.23584719E+01  -0.20689654E+01  -0.14537573E+02
   0.23584719E+01  -0.22413793E+01  -0.14515829E+02
   0.23584719E+01  -0.24137931E+01  -0.14500335E+02
   0.23584719E+01  -0.25862069E+01  -0.14489490E+02
   0.23584719E+01  -0.27586207E+01  -0.14481994E+02
   0.23584719E+01  -0.29310346E+01  -0.14476859E+02
   0.23584719E+01  -0.31034484E+01  -0.14473362E+02
   0.23584719E+01  -0.32758620E+01  -0.14470991E+02
   0.23584719E+01  -0.34482758E+01  -0.14469387E+02
   0.23584719E+01  -0.36206896E+01  -0.14468305E+02
   0.23584719E+01  -0.37931035E+01  -0.14467575E+02
   0.23584719E+01  -0.39655173E+01  -0.14467083E+02
   0.23584719E+01  -0.41379309E+01  -0.14466753E+02
   0.23584719E+01  -0.43103447E+01  -0.14466530E+02
   0.23584719E+01  -0.44827585E+01  -0.14466380E+02
   0.23584719E+01  -0.46551723E+01  -0.14466279E+02
   0.23584719E+01  -0.48275862E+01  -0.14466212E+02
   0.23584719E+01  -0.50000000E+01  -0.14466166E+02
 
   0.28757106E+01   0.00000000E+00  -0.15601803E+02
   0.28757106E+01  -0.17241380E+00  -0.15560392E+02
   0.28757106E+01  -0.34482759E+00  -0.15513352E+02
   0.28757106E+01  -0.51724136E+00  -0.15459599E+02
   0.28757106E+01  -0.68965518E+00  -0.15398812E+02
