#size(cm)    E(eV)        Qabs         Qsca         g(cos)       
1.000000e-07 8.774536e+01 3.421000e-02 8.302000e-05 3.170000e-02 
1.000000e-07 9.294167e+01 3.362000e-02 8.390000e-05 3.570000e-02 
1.000000e-07 9.847831e+01 3.278000e-02 9.095000e-05 4.010000e-02 
1.000000e-07 1.042760e+02 3.047000e-02 9.490000e-05 4.510000e-02 
1.000000e-07 1.105028e+02 2.814000e-02 9.038000e-05 5.080000e-02 
1.000000e-07 1.170767e+02 3.399000e-02 9.714000e-05 5.720000e-02 
1.000000e-07 1.239842e+02 3.164000e-02 1.220000e-04 6.420000e-02 
1.000000e-07 1.313253e+02 2.917000e-02 1.307000e-04 7.230000e-02 
1.000000e-07 1.391049e+02 2.677000e-02 1.350000e-04 8.130000e-02 
1.000000e-07 1.473546e+02 2.446000e-02 1.369000e-04 9.150000e-02 
1.000000e-07 1.560924e+02 2.228000e-02 1.367000e-04 1.030000e-01 
1.000000e-07 1.653343e+02 2.025000e-02 1.316000e-04 1.160000e-01 
1.000000e-07 1.751437e+02 2.009000e-02 1.413000e-04 1.310000e-01 
1.000000e-07 1.855218e+02 1.821000e-02 1.425000e-04 1.470000e-01 
1.000000e-07 1.964884e+02 1.648000e-02 1.411000e-04 1.650000e-01 
1.000000e-07 2.081319e+02 1.490000e-02 1.385000e-04 1.860000e-01 
1.000000e-07 2.204947e+02 1.340000e-02 1.345000e-04 2.090000e-01 
1.000000e-07 2.335359e+02 1.205000e-02 1.295000e-04 2.350000e-01 
1.000000e-07 2.473747e+02 1.083000e-02 1.237000e-04 2.650000e-01 
1.000000e-07 2.620122e+02 9.713000e-03 1.173000e-04 2.970000e-01 
1.000000e-07 2.775558e+02 8.692000e-03 1.103000e-04 3.330000e-01 
1.000000e-07 2.940104e+02 7.766000e-03 1.029000e-04 3.720000e-01 
1.000000e-07 3.114398e+02 6.924000e-03 9.523000e-05 4.140000e-01 
1.000000e-07 3.299207e+02 6.160000e-03 8.741000e-05 4.590000e-01 
1.000000e-07 3.494481e+02 5.468000e-03 7.953000e-05 5.060000e-01 
1.000000e-07 3.701021e+02 4.842000e-03 7.186000e-05 5.540000e-01 
1.000000e-07 3.921069e+02 4.281000e-03 6.450000e-05 6.010000e-01 
1.000000e-07 4.153574e+02 3.786000e-03 5.770000e-05 6.460000e-01 
1.000000e-07 4.399723e+02 3.323000e-03 5.077000e-05 6.860000e-01 
1.000000e-07 4.659308e+02 2.898000e-03 4.406000e-05 7.200000e-01 
1.000000e-07 4.935676e+02 2.536000e-03 3.656000e-05 7.470000e-01 
1.000000e-07 5.229194e+02 2.217000e-03 2.202000e-05 7.670000e-01 
1.000000e-07 5.537481e+02 5.255000e-03 3.253000e-05 7.820000e-01 
1.000000e-07 5.867685e+02 4.690000e-03 3.400000e-05 7.940000e-01 
1.000000e-07 6.214747e+02 4.154000e-03 3.314000e-05 8.060000e-01 
1.000000e-07 6.580902e+02 3.660000e-03 3.020000e-05 8.210000e-01 
1.000000e-07 6.973239e+02 3.209000e-03 2.612000e-05 8.380000e-01 
1.000000e-07 7.384407e+02 2.802000e-03 1.634000e-05 8.560000e-01 
1.000000e-07 7.822347e+02 4.486000e-03 2.591000e-05 8.720000e-01 
1.000000e-07 8.287713e+02 3.923000e-03 2.438000e-05 8.850000e-01 
1.000000e-07 8.774536e+02 3.809000e-03 2.517000e-05 8.940000e-01 
1.000000e-07 9.294167e+02 3.337000e-03 2.398000e-05 9.010000e-01 
1.000000e-07 9.847831e+02 2.914000e-03 2.224000e-05 9.080000e-01 
1.000000e-07 1.042760e+03 2.540000e-03 2.043000e-05 9.170000e-01 
1.000000e-07 1.105028e+03 2.196000e-03 1.855000e-05 9.270000e-01 
1.000000e-07 1.170767e+03 1.896000e-03 1.668000e-05 9.340000e-01 
1.000000e-07 1.239842e+03 1.629000e-03 1.469000e-05 9.380000e-01 

1.585000e-07 1.239842e-03 2.172000e-07 1.596000e-20 0.000000e+00 
1.585000e-07 1.313253e-03 2.437000e-07 2.010000e-20 0.000000e+00 
1.585000e-07 1.391049e-03 2.735000e-07 2.530000e-20 0.000000e+00 
1.585000e-07 1.473546e-03 3.069000e-07 3.185000e-20 0.000000e+00 
1.585000e-07 1.560924e-03 3.444000e-07 4.010000e-20 0.000000e+00 
1.585000e-07 1.653343e-03 3.865000e-07 5.048000e-20 0.000000e+00 
1.585000e-07 1.751437e-03 4.337000e-07 6.355000e-20 0.000000e+00 
1.585000e-07 1.855218e-03 4.866000e-07 8.001000e-20 0.000000e+00 
